U.S. Regional Level,ID Code,U.S. Regional Title,No Of Patents,Total,Latitude,Longitude
"Metropolitan
Statistical Area",141940,"San Jose-
Sunnyvale-Santa
Clara, CA",14618,143473,37.4079318,-122.008644
"Metropolitan
Statistical Area",135620,"New York-
Northern New
Jersey-Long Island,
NY-NJ-PA",7754,92577,40.27245,-76.90567
"Metropolitan
Statistical Area",141860,"San Francisco-
Oakland-Fremont,
CA",9732,89981,37.776491,-122.232443
"Metropolitan
Statistical Area",131100,"Los Angeles-Long
Beach-Santa Ana,
CA",6476,74381,37.399399,-121.96718
"Metropolitan
Statistical Area",114460,"Boston-Cambridge-
Quincy, MA-NH",5949,62653,43.66702,-71.4998
"Metropolitan
Statistical Area",116980,"Chicago-Joliet-
Naperville, IL-IN-
WI",3909,46991,45.656073,-88.911228
"Metropolitan
Statistical Area",141740,"San Diego-
Carlsbad-San
Marcos, CA",5460,45465,34.146701,-118.590086
"Metropolitan
Statistical Area",142660,"Seattle-Tacoma-
Bellevue, WA",4739,44406,47.615471,-122.207221
"Metropolitan
Statistical Area",133460,"Minneapolis-St.
Paul-Bloomington,
MN-WI",3419,41696,44.50024,-90.00041
"Metropolitan
Statistical Area",119820,"Detroit-Warren-
Livonia, MI",3305,37342,42.369351,-83.371753
"Metropolitan
Statistical Area",119100,"Dallas-Fort Worth-
Arlington, TX",3026,34898,32.75955645397539,-97.10482794003319
"Metropolitan
Statistical Area",112420,"Austin-Round
Rock-San Marcos,
TX",2700,33753,30.280092,-96.35698
"Metropolitan
Statistical Area",137980,"Philadelphia-
Camden-
Wilmington, PA-
NJ-DE-MD",2357,32416,39.00039,-76.74997
"Metropolitan
Statistical Area",126420,"Houston-Sugar
Land-Baytown, TX",3186,32197,29.7355,-94.97743
"Metropolitan
Statistical Area",138900,"Portland-
Vancouver-
Hillsboro, OR-WA",2163,25717,47.50012,-120.50147
"Metropolitan
Statistical Area",147900,"Washington-
Arlington-
Alexandria, DC-
VA-MD-WV",2310,24760,38.50038,-80.50009
"Metropolitan
Statistical Area",112060,"Atlanta-Sandy
Springs-Marietta,
GA",2143,22970,34.730494,-84.785662
"Metropolitan
Statistical Area",138060,"Phoenix-Mesa-
Glendale, AZ",1764,20933,33.531753,-112.177935
"Metropolitan
Statistical Area",140380,"Rochester, NY",1217,20239,43.157285,-77.615214
"Metropolitan
Statistical Area",114260,"Boise City-Nampa,
ID",722,19188,43.586632,-116.183698
"Metropolitan
Statistical Area",139580,"Raleigh-Cary, NC",1535,15950,35.789645199999995,-78.74370750940764
"Metropolitan
Statistical Area",133100,"Miami-Fort
Lauderdale-
Pompano Beach,
FL",1338,15724,25.9676502,-80.209252
"Metropolitan
Statistical Area",117140,"Cincinnati-
Middletown, OH-
KY-IN",1048,13482,22.0,79.0
"Metropolitan
Statistical Area",119740,"Denver-Aurora-
Broomfield, CO",1202,11436,39.909994,-105.002506
"Metropolitan
Statistical Area",117460,"Cleveland-Elyria-
Mentor, OH",922,11277,41.476225,-82.152666
"Metropolitan
Statistical Area",138300,"Pittsburgh, PA",895,10907,40.4416941,-79.9900861
"Metropolitan
Statistical Area",110580,"Albany-
Schenectady-Troy,
NY",1090,10841,42.75578055,-73.7741253000329
"Metropolitan
Statistical Area",112580,"Baltimore-Towson,
MD",846,10574,39.675,-77.0191667
"Metropolitan
Statistical Area",141180,"St. Louis, MO-IL",779,10290,48.5415502,2.659614
"Metropolitan
Statistical Area",139100,"Poughkeepsie-
Newburgh-
Middletown, NY",871,10277,41.329419,-74.202195
"Metropolitan
Statistical Area",114860,"Bridgeport-
Stamford-Norwalk,
CT",636,9721,41.134394,-73.546053
"Metropolitan
Statistical Area",114500,"Boulder, CO",831,9137,40.0149856,-105.270545
"Metropolitan
Statistical Area",133340,"Milwaukee-
Waukesha-West
Allis, WI",689,8988,43.01635795,-88.0672493
"Metropolitan
Statistical Area",125540,"Hartford-West
Hartford-East
Hartford, CT",845,8920,41.769289,-72.686032
"Metropolitan
Statistical Area",126900,"Indianapolis-
Carmel, IN",735,8161,39.9311417,-86.15264279189338
"Metropolitan
Statistical Area",128140,"Kansas City, MO-
KS",816,7952,38.94231585,-94.60607524663884
"Metropolitan
Statistical Area",111460,"Ann Arbor, MI",785,7928,42.2813722,-83.7484616
"Metropolitan
Statistical Area",140900,"Sacramento--
Arden-Arcade--
Roseville, CA",659,7717,34.619081,-120.202472
"Metropolitan
Statistical Area",137100,"Oxnard-Thousand
Oaks-Ventura, CA",571,7534,34.17056,-118.83759
"Metropolitan
Statistical Area",114740,"Bremerton-
Silverdale, WA",907,7278,47.562247,-122.67038
"Metropolitan
Statistical Area",142100,"Santa Cruz-
Watsonville, CA",678,7273,36.9092773,-121.7529071
